employee_id,role,country,region,tenure_years
E00624,Medical Manager,United Kingdom,EMEA,3.4
E00625,Sales Rep,Italy,EMEA,5.6
E00626,MSL,Brazil,Americas,4.4
E00627,MSL,Canada,Americas,7.9
E00628,MSL,India,APAC,4.3
E00629,Sales Rep,Italy,EMEA,0.1
E00630,MSL,United Kingdom,EMEA,8.3
E00631,MSL,Mexico,Americas,1.8
E00632,MSL,France,EMEA,2.5
E00633,Sales Rep,India,APAC,2.7
E00634,Sales Rep,United States,Americas,8.6
E00635,MSL,France,EMEA,0.1
E00636,Sales Rep,Japan,APAC,13.9
E00637,Sales Rep,United Kingdom,EMEA,7.7
E00638,MSL,United Kingdom,EMEA,5.2
E00639,Regional Manager,India,APAC,4.3
E00640,MSL,Canada,Americas,5.4
E00641,Market Access,India,APAC,6.1
E00642,MSL,Japan,APAC,6.4
E00643,Medical Manager,India,APAC,6.2
E00644,MSL,France,EMEA,4.8
E00645,MSL,Japan,APAC,3.9
E00646,Market Access,France,EMEA,4.0
E00647,Regional Manager,United Kingdom,EMEA,3.9
E00648,MSL,Germany,EMEA,7.9
E00649,MSL,Japan,APAC,6.3
E00650,Regional Manager,France,EMEA,0.1
E00651,Regional Manager,Mexico,Americas,6.5
E00652,MSL,Germany,EMEA,5.1
E00653,Sales Rep,India,APAC,4.4
E00654,MSL,Mexico,Americas,3.3
E00655,MSL,United States,Americas,7.9
E00656,Sales Rep,Germany,EMEA,7.3
E00657,Sales Rep,Mexico,Americas,2.2
E00658,Sales Rep,Japan,APAC,5.7
E00659,Sales Rep,France,EMEA,1.6
E00660,Sales Rep,Canada,Americas,0.4
E00661,Regional Manager,Brazil,Americas,2.6
E00662,Sales Rep,Italy,EMEA,7.1
E00663,Sales Rep,Japan,APAC,7.4
E00664,Sales Rep,United Kingdom,EMEA,6.0
E00665,Sales Rep,United States,Americas,6.7
E00666,Sales Rep,Canada,Americas,6.0
E00667,Regional Manager,Japan,APAC,2.6
E00668,MSL,India,APAC,5.8
E00669,Sales Rep,Canada,Americas,6.9
E00670,MSL,France,EMEA,6.8
E00671,Medical Manager,Japan,APAC,8.1
E00672,Sales Rep,Japan,APAC,6.6
E00673,Sales Rep,Mexico,Americas,5.6
E00674,MSL,Canada,Americas,7.7
E00675,Sales Rep,India,APAC,4.4
E00676,Sales Rep,India,APAC,1.9
E00677,Market Access,United States,Americas,4.0
E00678,MSL,Japan,APAC,2.3
E00679,Regional Manager,Germany,EMEA,2.5
E00680,MSL,United States,Americas,4.1
E00681,MSL,Brazil,Americas,2.1
E00682,MSL,Germany,EMEA,3.6
E00683,Sales Rep,Germany,EMEA,0.1
E00684,MSL,Canada,Americas,5.1
E00685,Market Access,United States,Americas,4.5
E00686,Sales Rep,United Kingdom,EMEA,2.0
E00687,MSL,Japan,APAC,6.5
E00688,Sales Rep,United States,Americas,7.3
E00689,Sales Rep,United Kingdom,EMEA,0.1
E00690,Sales Rep,United States,Americas,2.2
E00691,Sales Rep,Italy,EMEA,2.2
E00692,Sales Rep,Canada,Americas,1.7
E00693,MSL,United Kingdom,EMEA,7.0
E00694,MSL,India,APAC,3.9
E00695,Regional Manager,Japan,APAC,3.7
E00696,Sales Rep,United States,Americas,0.1
E00697,Sales Rep,France,EMEA,6.4
E00698,Sales Rep,United Kingdom,EMEA,0.8
E00699,Sales Rep,Brazil,Americas,4.7
E00700,MSL,Germany,EMEA,5.3
E00701,Sales Rep,Brazil,Americas,8.6
E00702,Medical Manager,Brazil,Americas,0.6
E00703,Sales Rep,France,EMEA,0.1
E00704,MSL,India,APAC,5.1
E00705,MSL,United States,Americas,9.9
E00706,Sales Rep,Mexico,Americas,8.2
E00707,Sales Rep,United States,Americas,5.1
E00708,Sales Rep,Germany,EMEA,3.0
E00709,Regional Manager,India,APAC,6.9
E00710,Sales Rep,Brazil,Americas,1.6
E00711,Sales Rep,Germany,EMEA,5.9
E00712,Medical Manager,Italy,EMEA,6.0
E00713,Sales Rep,Canada,Americas,7.7
E00714,Medical Manager,United Kingdom,EMEA,12.8
E00715,Regional Manager,India,APAC,5.7
E00716,Sales Rep,Brazil,Americas,3.0
E00717,MSL,Japan,APAC,4.4
E00718,MSL,Germany,EMEA,0.1
E00719,MSL,India,APAC,2.4
E00720,Sales Rep,United States,Americas,3.3
E00721,MSL,Canada,Americas,2.9
E00722,Medical Manager,Italy,EMEA,5.0
E00723,Sales Rep,France,EMEA,2.0
E00724,Sales Rep,India,APAC,7.9
E00725,Sales Rep,United Kingdom,EMEA,4.5
E00726,Sales Rep,France,EMEA,4.5
E00727,Medical Manager,France,EMEA,3.5
E00728,Market Access,United Kingdom,EMEA,5.0
E00729,MSL,United Kingdom,EMEA,7.0
E00730,Medical Manager,United States,Americas,1.9
E00731,Sales Rep,Canada,Americas,2.5
E00732,Sales Rep,France,EMEA,3.6
E00733,Sales Rep,Japan,APAC,0.5
E00734,Medical Manager,Brazil,Americas,2.0
E00735,Market Access,India,APAC,3.1
E00736,MSL,Italy,EMEA,7.1
E00737,Sales Rep,United Kingdom,EMEA,5.3
E00738,MSL,France,EMEA,5.1
E00739,Sales Rep,Canada,Americas,7.1
E00740,Sales Rep,Germany,EMEA,4.1
E00741,Medical Manager,Germany,EMEA,5.7
E00742,Market Access,United Kingdom,EMEA,4.2
E00743,Sales Rep,India,APAC,5.3
E00744,Market Access,United Kingdom,EMEA,2.8
E00745,Regional Manager,Mexico,Americas,0.1
E00746,MSL,Mexico,Americas,4.1
E00747,Sales Rep,Japan,APAC,8.8
E00748,Sales Rep,Mexico,Americas,7.3
E00749,Market Access,Japan,APAC,7.4
E00750,Sales Rep,Mexico,Americas,8.2
E00751,MSL,France,EMEA,4.8
E00752,MSL,United States,Americas,5.1
E00753,Regional Manager,United States,Americas,2.6
E00754,Sales Rep,France,EMEA,3.6
E00755,Medical Manager,Japan,APAC,6.3
E00756,Sales Rep,United Kingdom,EMEA,8.1
E00757,MSL,Germany,EMEA,4.1
E00758,MSL,Japan,APAC,3.1
E00759,Market Access,Mexico,Americas,4.5
E00760,Medical Manager,India,APAC,6.3
E00761,Sales Rep,Mexico,Americas,0.2
E00762,Sales Rep,United States,Americas,0.1
E00763,Regional Manager,Mexico,Americas,2.8
E00764,Sales Rep,Japan,APAC,0.8
E00765,Medical Manager,United States,Americas,3.0
E00766,Sales Rep,Mexico,Americas,4.1
E00767,MSL,Canada,Americas,3.1
E00768,Sales Rep,Italy,EMEA,8.9
E00769,Market Access,Japan,APAC,5.5
E00770,Sales Rep,United States,Americas,5.4
E00771,Sales Rep,Canada,Americas,6.4
E00772,Market Access,Italy,EMEA,1.1
E00773,Sales Rep,India,APAC,7.6
E00774,MSL,Brazil,Americas,4.3
E00775,Sales Rep,Japan,APAC,6.5
E00776,MSL,Italy,EMEA,1.3
E00777,MSL,Canada,Americas,0.1
E00778,MSL,Canada,Americas,7.0
E00779,MSL,Germany,EMEA,5.6
E00780,Sales Rep,Germany,EMEA,1.8
E00781,Regional Manager,Canada,Americas,1.9
E00782,MSL,United Kingdom,EMEA,7.9
E00783,Sales Rep,Brazil,Americas,0.9
E00784,Market Access,United States,Americas,9.4
E00785,MSL,United Kingdom,EMEA,1.8
E00786,Regional Manager,United Kingdom,EMEA,6.4
E00787,Regional Manager,United States,Americas,3.5
E00788,Regional Manager,United States,Americas,6.3
E00789,Sales Rep,Mexico,Americas,2.9
E00790,Sales Rep,India,APAC,4.0
E00791,MSL,United Kingdom,EMEA,4.6
E00792,MSL,Mexico,Americas,1.5
E00793,Regional Manager,United States,Americas,6.7
E00794,Sales Rep,Italy,EMEA,3.0
E00795,MSL,India,APAC,3.8
E00796,Sales Rep,Mexico,Americas,1.5
E00797,Sales Rep,Italy,EMEA,0.1
E00798,Medical Manager,Canada,Americas,3.9
E00799,Market Access,Italy,EMEA,11.7
E00800,Market Access,India,APAC,6.9
E00801,Sales Rep,Italy,EMEA,4.4
E00802,Sales Rep,Mexico,Americas,3.7
E00803,Sales Rep,Germany,EMEA,4.6
E00804,Medical Manager,India,APAC,6.1
E00805,Medical Manager,Canada,Americas,1.0
E00806,Medical Manager,Mexico,Americas,7.8
E00807,Sales Rep,Italy,EMEA,6.6
E00808,Market Access,Italy,EMEA,6.7
E00809,Medical Manager,United States,Americas,5.8
E00810,Medical Manager,United Kingdom,EMEA,4.6
E00811,Medical Manager,Germany,EMEA,6.5
E00812,Sales Rep,Canada,Americas,6.3
E00813,MSL,Germany,EMEA,3.4
E00814,Sales Rep,Canada,Americas,2.8
E00815,Regional Manager,United States,Americas,4.8
E00816,Sales Rep,India,APAC,9.1
E00817,Medical Manager,Germany,EMEA,0.8
E00818,Regional Manager,United States,Americas,0.1
E00819,Sales Rep,Japan,APAC,5.0
E00820,MSL,Canada,Americas,4.7
E00821,Sales Rep,Germany,EMEA,5.0
E00822,MSL,United States,Americas,5.2
E00823,Medical Manager,Brazil,Americas,3.8
E00824,Sales Rep,India,APAC,9.0
E00825,Sales Rep,India,APAC,0.1
E00826,Medical Manager,Canada,Americas,2.0
E00827,Sales Rep,Canada,Americas,4.2
E00828,MSL,India,APAC,0.1
E00829,Regional Manager,India,APAC,4.0
E00830,Sales Rep,Canada,Americas,9.5
E00831,MSL,United States,Americas,4.6
E00832,MSL,Mexico,Americas,5.2
E00833,Sales Rep,Germany,EMEA,0.7
E00834,MSL,Canada,Americas,2.7
E00835,Medical Manager,Canada,Americas,3.4
E00836,Regional Manager,Italy,EMEA,3.5
E00837,MSL,France,EMEA,8.3
E00838,Sales Rep,Brazil,Americas,6.2
E00839,MSL,Japan,APAC,1.2
E00840,Sales Rep,Japan,APAC,5.2
E00841,Medical Manager,France,EMEA,6.0
E00842,Sales Rep,United States,Americas,7.9
E00843,Sales Rep,Canada,Americas,9.2
E00844,Sales Rep,Mexico,Americas,1.5
E00845,Medical Manager,United Kingdom,EMEA,2.1
E00846,MSL,France,EMEA,0.7
E00847,Sales Rep,Canada,Americas,3.8
E00848,Market Access,Mexico,Americas,5.9
E00849,MSL,United Kingdom,EMEA,7.5
E00850,Sales Rep,France,EMEA,4.3
E00851,Medical Manager,United Kingdom,EMEA,3.5
E00852,Regional Manager,United Kingdom,EMEA,5.0
E00853,Sales Rep,India,APAC,2.0
E00854,MSL,Italy,EMEA,10.8
E00855,Medical Manager,Italy,EMEA,0.1
E00856,Sales Rep,Mexico,Americas,5.1
E00857,MSL,Japan,APAC,10.6
E00858,MSL,Japan,APAC,4.5
E00859,Regional Manager,Mexico,Americas,3.9
E00860,Market Access,Canada,Americas,3.4
E00861,Sales Rep,Canada,Americas,4.0
E00862,Sales Rep,Mexico,Americas,8.6
E00863,Regional Manager,Japan,APAC,0.1
E00864,MSL,United States,Americas,9.1
E00865,MSL,United States,Americas,0.2
E00866,MSL,Italy,EMEA,3.7
E00867,Sales Rep,Italy,EMEA,3.2
E00868,Medical Manager,Mexico,Americas,6.3
E00869,Sales Rep,India,APAC,0.1
E00870,Medical Manager,France,EMEA,5.9
E00871,Sales Rep,United States,Americas,10.6
E00872,Sales Rep,Germany,EMEA,0.4
E00873,Sales Rep,United Kingdom,EMEA,5.1
E00874,Sales Rep,Brazil,Americas,2.5
E00875,Regional Manager,Canada,Americas,5.8
E00876,Sales Rep,Mexico,Americas,4.6
E00877,Sales Rep,United States,Americas,2.6
E00878,Sales Rep,Brazil,Americas,6.0
E00879,MSL,Brazil,Americas,9.9
E00880,Medical Manager,Mexico,Americas,3.9
E00881,Sales Rep,Italy,EMEA,6.7
E00882,Sales Rep,United States,Americas,0.6
E00883,Regional Manager,Brazil,Americas,1.6
E00884,Medical Manager,United States,Americas,5.9
E00885,Sales Rep,France,EMEA,9.0
E00886,Sales Rep,Germany,EMEA,5.6
E00887,Sales Rep,Italy,EMEA,3.6
E00888,Sales Rep,Italy,EMEA,4.5
E00889,MSL,Mexico,Americas,0.7
E00890,Market Access,United Kingdom,EMEA,6.3
E00891,Regional Manager,Canada,Americas,7.1
E00892,Sales Rep,Germany,EMEA,3.1
E00893,Medical Manager,France,EMEA,3.1
E00894,MSL,Italy,EMEA,5.3
E00895,Sales Rep,Mexico,Americas,3.2
E00896,Market Access,India,APAC,4.3
E00897,Regional Manager,Italy,EMEA,10.8
E00898,MSL,Canada,Americas,3.8
E00899,Sales Rep,United Kingdom,EMEA,3.4
E00900,Sales Rep,France,EMEA,2.6
E00901,MSL,United States,Americas,6.7
E00902,Regional Manager,Brazil,Americas,4.0
E00903,Market Access,United Kingdom,EMEA,2.6
E00904,Sales Rep,Japan,APAC,8.5
E00905,Medical Manager,Germany,EMEA,8.8
E00906,Sales Rep,Canada,Americas,2.7
E00907,Sales Rep,United Kingdom,EMEA,0.1
E00908,Sales Rep,United Kingdom,EMEA,7.5
E00909,MSL,United Kingdom,EMEA,2.4
E00910,MSL,Mexico,Americas,6.9
E00911,MSL,United Kingdom,EMEA,0.1
E00912,MSL,Japan,APAC,7.2
E00913,Sales Rep,Canada,Americas,0.9
E00914,MSL,Canada,Americas,6.7
E00915,Sales Rep,Italy,EMEA,4.5
E00916,MSL,Italy,EMEA,1.6
E00917,Sales Rep,Italy,EMEA,3.3
E00918,Sales Rep,Brazil,Americas,6.6
E00919,MSL,India,APAC,4.8
E00920,Sales Rep,Mexico,Americas,6.3
E00921,Sales Rep,Germany,EMEA,10.4
E00922,Sales Rep,Germany,EMEA,0.1
E00923,Sales Rep,United Kingdom,EMEA,9.4
E00924,Sales Rep,Canada,Americas,4.8
E00925,MSL,United Kingdom,EMEA,1.8
E00926,MSL,India,APAC,0.5
E00927,Sales Rep,India,APAC,3.9
E00928,Sales Rep,Japan,APAC,7.3
E00929,Sales Rep,India,APAC,4.1
E00930,Sales Rep,Japan,APAC,9.0
E00931,Sales Rep,Germany,EMEA,0.1
E00932,Sales Rep,Germany,EMEA,4.5
E00933,MSL,United Kingdom,EMEA,0.7
E00934,Medical Manager,Germany,EMEA,5.6
E00935,Sales Rep,Italy,EMEA,7.2
E00936,Sales Rep,Germany,EMEA,3.2
E00937,Sales Rep,United Kingdom,EMEA,0.1
E00938,MSL,Italy,EMEA,5.1
E00939,Sales Rep,Brazil,Americas,5.8
E00940,Sales Rep,Brazil,Americas,5.7
E00941,Market Access,Canada,Americas,8.2
E00942,Regional Manager,United Kingdom,EMEA,1.3
E00943,Medical Manager,United States,Americas,6.5
E00944,Medical Manager,Brazil,Americas,8.1
E00945,Regional Manager,India,APAC,0.1
E00946,Medical Manager,Canada,Americas,5.5
E00947,MSL,United States,Americas,3.0
E00948,Market Access,United Kingdom,EMEA,4.3
E00949,Regional Manager,France,EMEA,5.5
E00950,Sales Rep,Italy,EMEA,3.0
E00951,MSL,Italy,EMEA,2.5
E00952,MSL,United Kingdom,EMEA,4.6
E00953,Medical Manager,United Kingdom,EMEA,1.2
E00954,Sales Rep,Japan,APAC,1.2
E00955,Sales Rep,Germany,EMEA,6.5
E00956,Sales Rep,Italy,EMEA,1.1
E00957,Sales Rep,India,APAC,6.5
E00958,Regional Manager,Japan,APAC,5.9
E00959,Sales Rep,United States,Americas,0.1
E00960,Regional Manager,Canada,Americas,2.5
E00961,Regional Manager,Brazil,Americas,8.1
E00962,MSL,United States,Americas,1.6
E00963,Sales Rep,Mexico,Americas,3.1
E00964,Sales Rep,India,APAC,5.9
E00965,Medical Manager,India,APAC,6.9
E00966,Sales Rep,United Kingdom,EMEA,3.7
E00967,Sales Rep,Canada,Americas,2.7
E00968,Regional Manager,United States,Americas,8.8
E00969,Market Access,France,EMEA,9.7
E00970,MSL,Mexico,Americas,7.4
E00971,Regional Manager,Canada,Americas,4.8
E00972,Regional Manager,Canada,Americas,2.1
E00973,Sales Rep,India,APAC,2.0
E00974,Sales Rep,India,APAC,6.1
E00975,Sales Rep,India,APAC,5.8
E00976,Sales Rep,Germany,EMEA,8.7
E00977,MSL,Japan,APAC,6.5
E00978,Sales Rep,Brazil,Americas,0.1
E00979,MSL,Germany,EMEA,7.7
E00980,Sales Rep,France,EMEA,1.5
E00981,MSL,Canada,Americas,3.3
E00982,Sales Rep,France,EMEA,5.3
E00983,Sales Rep,India,APAC,10.5
E00984,Sales Rep,Italy,EMEA,13.8
E00985,Sales Rep,United Kingdom,EMEA,6.3
E00986,Sales Rep,United States,Americas,4.0
E00987,Sales Rep,United States,Americas,6.1
E00988,Sales Rep,India,APAC,7.2
E00989,Sales Rep,Germany,EMEA,3.5
E00990,MSL,India,APAC,9.9
E00991,Sales Rep,Germany,EMEA,5.2
E00992,Sales Rep,Italy,EMEA,6.0
E00993,Sales Rep,Italy,EMEA,6.5
E00994,Sales Rep,Japan,APAC,5.8
E00995,Regional Manager,Canada,Americas,7.0
E00996,Sales Rep,Canada,Americas,2.6
E00997,Sales Rep,Japan,APAC,2.8
E00998,Market Access,United States,Americas,1.2
E00999,Sales Rep,Japan,APAC,5.8
E01000,MSL,India,APAC,6.8
