interaction_id,interaction_date,country,region,business_unit,interaction_type,stakeholder_id,employee_id,declared_purpose,duration_minutes
I001717,2024-08-02,JP,APAC,Vaccines,Group Meeting,S01135,E00385,Scientific exchange on clinical data,85.0
I001718,2024-06-10,JPN,APAC,Specialty,Advisory Board,S00421,E00966,Congress meeting and follow-up,168.0
I001719,2024/07/09,Japan,APAC,Vaccines,Congress/Conference,S01092,E00067,Congress meeting and follow-up,89.0
I001720,2024-08-12,FRA,EMEA,Specialty,Speaker Program,S01246,E00898,Training and best practice sharing,88.0
I001721,2024-10-13,India,APAC,Vaccines,Speaker Program,S01055,E00322,Speaker program educational session,91.0
I001722,2025-03-17,US,Americas,Vaccines,1:1 Meeting,S01314,E00365,Scientific exchange on clinical data,34.0
I001723,2024-01-14,FRA,EMEA,Oncology,1:1 Meeting,S00181,E00688,Product information discussion (on-label),55.0
I001724,2025-06-03,FRA,EMEA,Primary Care,1:1 Meeting,S00834,E00760,Speaker program educational session,34.0
I001725,2024-01-28,IN,APAC,Specialty,1:1 Meeting,S00202,E00145,Advisory board discussion on unmet needs,43.0
I001726,2025-03-01,IND,APAC,Respiratory,Group Meeting,S01646,E00106,Market access discussion,68.0
I001727,2024-04-10,United States,Americas,Vaccines,Group Meeting,S01721,E00871,Advisory board discussion on unmet needs,65.0
I001728,2024-04-15,ITA,EMEA,Specialty,1:1 Meeting,S01032,E00948,Market access discussion,29.0
I001729,2024-10-03,Japan,APAC,Respiratory,1:1 Meeting,S00782,E00978,Training and best practice sharing,9.0
I001730,2024-11-12,India,APAC,Vaccines,1:1 Meeting,S00472,E00143,Speaker program educational session,30.0
I001731,2024-05-17,MX,Americas,Oncology,Speaker Program,S00413,E00162,Training and best practice sharing,96.0
I001732,2024-11-12,IND,APAC,Specialty,Advisory Board,S00392,E00570,Speaker program educational session,248.0
I001733,2024-09-22,JP,APAC,Primary Care,1:1 Meeting,S01049,E00906,Market access discussion,21.0
I001734,2025-05-27,U.S.,Americas,Oncology,Speaker Program,S01132,E00030,Meeting,39.0
I001735,2024-05-12,DEU,EMEA,Oncology,1:1 Meeting,S01244,E00990,Market access discussion,
I001736,2025-06-18,Mexico,Americas,Primary Care,1:1 Meeting,S01409,E00266,Speaker program educational session,27.0
I001737,2025-05-10,Germany,EMEA,Respiratory,1:1 Meeting,S01042,E00949,Congress meeting and follow-up,26.0
I001738,2024-04-08,USA,Americas,Oncology,1:1 Meeting,S00108,E00427,Scientific exchange on clinical data,26.0
I001739,2024-11-12,Mexico,Americas,Vaccines,Group Meeting,S00988,E00851,Training and best practice sharing,88.0
I001740,2025-05-09,Germany,EMEA,Vaccines,Advisory Board,S00249,E00779,Training and best practice sharing,160.0
I001741,2025-04-01,Mexico,Americas,Respiratory,1:1 Meeting,S00151,E00604,Scientific exchange on clinical data,10.0
I001742,2024-11-10,FR,EMEA,Specialty,1:1 Meeting,S01206,E00368,Scientific exchange on clinical data,21.0
I001743,,IND,APAC,Specialty,1:1 Meeting,S00807,E00506,Product information discussion (on-label),0.0
I001744,2024-05-09,IND,APAC,Oncology,Group Meeting,S00680,E00390,Market access discussion,51.0
I001745,2024-10-19,India,APAC,Specialty,1:1 Meeting,S00338,E00735,Advisory board discussion on unmet needs,640.0
I001746,2025-01-21,United States of America,Americas,Respiratory,1:1 Meeting,S00875,E00549,Product information discussion (on-label),22.0
I001747,2024-09-21,US,Americas,Oncology,1:1 Meeting,S01642,E00565,Training and best practice sharing,35.0
I001748,2024-02-12,USA,Americas,Specialty,1:1 Meeting,S00411,E00084,Speaker program educational session,35.0
I001749,2024-10-04,CA,Americas,Respiratory,1:1 Meeting,S01101,E00726,Meeting,36.0
I001750,2025-06-27,IN,APAC,Specialty,1:1 Meeting,S00662,E00779,Product information discussion (on-label),24.0
I001751,2024-04-15,DE,EMEA,Respiratory,1:1 Meeting,S01613,E00326,Scientific exchange on clinical data,38.0
I001752,2025-06-10,Brazil,Americas,Oncology,Advisory Board,S01480,E00009,Congress meeting and follow-up,151.0
I001753,2024-02-22,GB,EMEA,Oncology,Group Meeting,S01715,E00039,Advisory board discussion on unmet needs,69.0
I001754,2024-11-20,United States,Americas,Respiratory,1:1 Meeting,S01109,E00811,Product information discussion (on-label),28.0
I001755,2024-04-23,Mexico,Americas,Respiratory,Group Meeting,S00893,E00671,Scientific exchange on clinical data,41.0
I001756,2024-05-18,U.S.,Americas,Primary Care,1:1 Meeting,S00148,E00859,Training and best practice sharing,27.0
I001757,2024-10-25,Italy,EMEA,Oncology,Speaker Program,S00709,E00335,Advisory board discussion on unmet needs,
I001758,2024-03-08,IN,APAC,Oncology,1:1 Meeting,S00548,E00954,Advisory board discussion on unmet needs,16.0
I001759,2025-03-20,IN,APAC,Oncology,Group Meeting,S01747,E00813,Market access discussion,45.0
I001760,2024-12-24,ITA,EMEA,Specialty,Group Meeting,S00747,E00756,Speaker program educational session,63.0
I001761,2024-05-24,Great Britain,EMEA,Specialty,1:1 Meeting,S01764,E00021,Scientific exchange on clinical data,39.0
I001762,2025-04-21,United States of America,Americas,Primary Care,Advisory Board,S01244,E00380,Scientific exchange on clinical data,281.0
I001763,2025-02-17,Japan,APAC,Vaccines,Group Meeting,S01701,E00352,Scientific exchange on clinical data,33.0
I001764,2024-12-10,Brazil,Americas,Primary Care,1:1 Meeting,S00314,E00587,Training and best practice sharing,23.0
I001765,2025-06-14,IND,APAC,Oncology,Group Meeting,S01270,E00555,Market access discussion,48.0
I001766,2024-01-23,BRA,Americas,Oncology,1:1 Meeting,S00718,E00389,Meeting,
I001767,2024-02-16,DEU,EMEA,Specialty,1:1 Meeting,S00627,E00228,Speaker program educational session,17.0
I001768,2024-05-23,United States,Americas,Specialty,Group Meeting,S01700,E00597,Market access discussion,51.0
I001769,2025-02-22,FR,EMEA,Primary Care,1:1 Meeting,S00956,E00128,Market access discussion,46.0
I001770,2025-02-19,GB,EMEA,Primary Care,1:1 Meeting,S00539,E00247,Product information discussion (on-label),24.0
I001771,2025-04-26,Canada,Americas,Oncology,Congress/Conference,S00690,E00411,Market access discussion,111.0
I001772,2024-08-17,IT,EMEA,Primary Care,Group Meeting,S00767,E00479,Congress meeting and follow-up,83.0
I001773,2024-04-05,FR,EMEA,Vaccines,Group Meeting,S01381,E00768,Speaker program educational session,99.0
I001774,2025-02-24,Canada,Americas,Vaccines,1:1 Meeting,S00825,E00046,Market access discussion,28.0
I001775,2024-04-14,IT,EMEA,Specialty,Advisory Board,S01508,E00671,Product information discussion (on-label),252.0
I001776,2024-09-26,Japan,APAC,Oncology,1:1 Meeting,S00197,E00261,Training and best practice sharing,31.0
I001777,2025-01-30,CA,Americas,Vaccines,1:1 Meeting,S01462,E00328,Speaker program educational session,19.0
I001778,2025-03-25,United States,Americas,Oncology,Speaker Program,S01247,E00845,Scientific exchange on clinical data,77.0
I001779,2024-11-26,Japan,APAC,Oncology,Group Meeting,S00785,E00472,Product information discussion (on-label),79.0
I001780,2024-09-30,CAN,Americas,Primary Care,1:1 Meeting,S00201,E00408,Training and best practice sharing,29.0
I001781,2024-01-20,MEX,Americas,Respiratory,1:1 Meeting,S00823,E00694,Advisory board discussion on unmet needs,28.0
I001782,2024-11-05,Japan,APAC,Respiratory,1:1 Meeting,S00094,E00501,Training and best practice sharing,4.0
I001783,2024-01-31,DE,EMEA,Primary Care,Group Meeting,S01543,E00199,Training and best practice sharing,43.0
I001784,2024-09-09,India,APAC,Respiratory,Advisory Board,S00830,E00872,Congress meeting and follow-up,68.0
I001785,2024-01-19,CAN,Americas,Primary Care,1:1 Meeting,S00046,E00201,Business discussion,33.0
I001786,2024-01-03,IN,APAC,Primary Care,Group Meeting,S00895,E00864,Follow-up,80.0
I001787,2024-08-23,United States of America,Americas,Oncology,Advisory Board,S01494,E00483,Advisory board discussion on unmet needs,206.0
I001788,2024-05-18,Italy,EMEA,Respiratory,Speaker Program,S01660,E00130,Speaker program educational session,101.0
I001789,2024-10-02,FRA,EMEA,Specialty,Group Meeting,S00170,E00946,Advisory board discussion on unmet needs,45.0
I001790,2024-01-04,UK,EMEA,Oncology,Congress/Conference,S01554,E00327,Speaker program educational session,79.0
I001791,2024-02-16,IT,EMEA,Primary Care,1:1 Meeting,S00157,E00113,Training and best practice sharing,33.0
I001792,2024-07-31,United States of America,Americas,Oncology,Group Meeting,S00385,E00524,Training and best practice sharing,65.0
I001793,2025-03-11,United States,Americas,Respiratory,Advisory Board,S01716,E00975,Speaker program educational session,305.0
I001794,2024-07-23,Germany,EMEA,Specialty,Speaker Program,S00153,E00268,Scientific exchange on clinical data,125.0
I001795,2025-01-15,U.S.,Americas,Specialty,1:1 Meeting,S00798,E00012,Speaker program educational session,47.0
I001796,2024-03-17,United States of America,Americas,Respiratory,Speaker Program,S00864,E00678,Product information discussion (on-label),55.0
I001797,2025-02-13,ITA,EMEA,Oncology,1:1 Meeting,S00989,E00706,Advisory board discussion on unmet needs,23.0
I001798,2025-04-20,BRA,Americas,Respiratory,1:1 Meeting,S00102,E00673,Advisory board discussion on unmet needs,27.0
I001799,2024-10-01,US,Americas,Primary Care,1:1 Meeting,S01630,E00411,Scientific exchange on clinical data,29.0
I001800,2024-03-17,IN,APAC,Specialty,1:1 Meeting,S00042,E00397,Discussed topics,23.0
I001801,2025-03-17,India,APAC,Specialty,1:1 Meeting,S00689,E00834,Scientific exchange on clinical data,9.0
I001802,2025-01-16,India,APAC,Primary Care,1:1 Meeting,S00205,E00193,Scientific exchange on clinical data,42.0
I001803,2024-05-21,U.S.,Americas,Primary Care,Group Meeting,S00138,E00613,Speaker program educational session,53.0
I001804,2024-12-17,JPN,APAC,Specialty,Speaker Program,S00868,E00586,Speaker program educational session,93.0
I001805,2025-06-28,United States,Americas,Respiratory,Advisory Board,S01583,E00377,Training and best practice sharing,146.0
I001806,2024-10-29,US,Americas,Primary Care,1:1 Meeting,S01646,E00335,Congress meeting and follow-up,34.0
I001807,2025-03-25,US,Americas,Specialty,Group Meeting,S00624,E00049,Advisory board discussion on unmet needs,66.0
I001808,2024-01-03,FR,EMEA,Respiratory,1:1 Meeting,S01160,E00593,Product information discussion (on-label),27.0
I001809,2024-09-24,US,Americas,Oncology,1:1 Meeting,S00394,E00034,Speaker program educational session,33.0
I001810,2024-02-28,UK,EMEA,Oncology,Speaker Program,S00191,E00987,Congress meeting and follow-up,115.0
I001811,2024-06-25,Germany,EMEA,Oncology,1:1 Meeting,S00237,E00775,Market access discussion,30.0
I001812,2024-11-02,USA,Americas,Primary Care,Advisory Board,S00665,E00965,Product information discussion (on-label),182.0
I001813,2024-09-02,GB,EMEA,Oncology,Group Meeting,S00092,E00234,Market access discussion,71.0
I001814,2025-06-10,GB,EMEA,Oncology,Group Meeting,S00541,E00890,Congress meeting and follow-up,57.0
I001815,2024-09-11,India,APAC,Oncology,Group Meeting,S00445,E00864,Meeting,96.0
I001816,2025-04-07,Brazil,Americas,Oncology,1:1 Meeting,S01739,E00598,Training and best practice sharing,22.0
I001817,2024-07-17,U.S.,Americas,Vaccines,1:1 Meeting,S01180,E00485,Speaker program educational session,49.0
I001818,2024-09-05,USA,Americas,Respiratory,Group Meeting,S00311,E00171,,81.0
I001819,2024-09-02,MEX,Americas,Respiratory,1:1 Meeting,S01404,E00390,Product information discussion (on-label),21.0
I001820,2024-03-28,MX,Americas,Oncology,Speaker Program,S01064,E00136,Training and best practice sharing,73.0
I001821,2024-11-08,Great Britain,EMEA,Oncology,1:1 Meeting,S00960,E00042,Advisory board discussion on unmet needs,31.0
I001822,2024-02-02,BR,Americas,Specialty,Group Meeting,S01655,E00778,Catch-up,103.0
I001823,2024-03-13,USA,Americas,Respiratory,1:1 Meeting,S00354,E00192,Advisory board discussion on unmet needs,24.0
I001824,2024-02-24,DEU,EMEA,Specialty,Speaker Program,S00294,E00221,Training and best practice sharing,116.0
I001825,2024-03-01,Great Britain,EMEA,Oncology,1:1 Meeting,S00530,E00725,Advisory board discussion on unmet needs,17.0
I001826,2024-06-24,MX,Americas,Oncology,1:1 Meeting,S00288,E00614,Training and best practice sharing,28.0
I001827,2024-11-12,United Kingdom,EMEA,Primary Care,Advisory Board,S01696,E00570,Scientific exchange on clinical data,130.0
I001828,2024-04-11,DE,EMEA,Primary Care,1:1 Meeting,S00637,E00927,Product information discussion (on-label),21.0
I001829,2024-11-05,Canada,Americas,Primary Care,1:1 Meeting,S00062,E00492,Product information discussion (on-label),31.0
I001830,2024-12-26,India,APAC,Vaccines,Advisory Board,S01209,E00974,Scientific exchange on clinical data,225.0
I001831,2024-12-03,IND,APAC,Primary Care,1:1 Meeting,S00850,E00945,Training and best practice sharing,27.0
I001832,2024-11-16,JP,APAC,Specialty,Group Meeting,S01064,E00509,Training and best practice sharing,74.0
I001833,2024-05-12,Japan,APAC,Specialty,1:1 Meeting,S00232,E00486,Scientific exchange on clinical data,22.0
I001834,2024-12-14,Mexico,Americas,Respiratory,Speaker Program,S00010,E00020,Speaker program educational session,128.0
I001835,2024-09-27,CA,Americas,Specialty,1:1 Meeting,S01497,E00721,Speaker program educational session,490.0
I001836,2024-11-24,U.S.,Americas,Primary Care,1:1 Meeting,S01269,E00141,Product information discussion (on-label),23.0
I001837,2024/05/01,FRA,EMEA,Vaccines,Group Meeting,S00729,E00176,Training and best practice sharing,67.0
I001838,2024-01-23,IT,EMEA,Oncology,1:1 Meeting,S01571,E00350,Scientific exchange on clinical data,18.0
I001839,2024-10-05,BR,Americas,Oncology,Speaker Program,S00488,E00706,Business discussion,82.0
I001840,2025-02-05,FRA,EMEA,Respiratory,Speaker Program,S00276,E00411,Market access discussion,100.0
I001841,2024-07-09,BRA,Americas,Vaccines,1:1 Meeting,S01480,E00110,Market access discussion,34.0
I001842,2024-10-26,USA,Americas,Vaccines,1:1 Meeting,S00095,E00123,Advisory board discussion on unmet needs,38.0
I001843,2024-07-14,Canada,Americas,Oncology,Group Meeting,S01703,E00276,Congress meeting and follow-up,37.0
I001844,2025-06-05,France,EMEA,Primary Care,Group Meeting,S01661,E00128,Scientific exchange on clinical data,52.0
I001845,2024-12-21,CA,Americas,Oncology,1:1 Meeting,S00942,E00310,Advisory board discussion on unmet needs,47.0
I001846,2024-12-29,Great Britain,EMEA,Respiratory,1:1 Meeting,S00790,E00134,Scientific exchange on clinical data,47.0
I001847,2025-02-05,IN,APAC,Specialty,Group Meeting,S01323,E00445,Speaker program educational session,51.0
I001848,2025-02-08,US,Americas,Primary Care,Group Meeting,S01276,E00919,Speaker program educational session,73.0
I001849,2024-01-11,UK,EMEA,Primary Care,Advisory Board,S01062,E00888,Scientific exchange on clinical data,118.0
I001850,2025-05-25,Germany,EMEA,Respiratory,1:1 Meeting,S01313,E00304,Market access discussion,34.0
I001851,2024-03-29,MEX,Americas,Vaccines,1:1 Meeting,S00859,E00716,Advisory board discussion on unmet needs,40.0
I001852,2024-01-14,Japan,APAC,Specialty,Speaker Program,S00536,E00609,Scientific exchange on clinical data,111.0
I001853,2024-09-13,India,APAC,Primary Care,Group Meeting,S01290,E00998,Scientific exchange on clinical data,56.0
I001854,2025-01-23,Japan,APAC,Specialty,Group Meeting,S00812,E00319,Congress meeting and follow-up,37.0
I001855,2025-04-27,GB,EMEA,Vaccines,1:1 Meeting,S00258,E00941,Market access discussion,11.0
I001856,2025-03-09,U.S.,Americas,Respiratory,1:1 Meeting,S00497,E00855,Market access discussion,27.0
I001857,2024-05-23,JP,APAC,Vaccines,Congress/Conference,S00511,E00884,Advisory board discussion on unmet needs,93.0
I001858,2024-09-13,India,APAC,Specialty,1:1 Meeting,S00022,E00044,Market access discussion,37.0
I001859,2024-12-11,IT,EMEA,Oncology,1:1 Meeting,S01771,E00861,Training and best practice sharing,51.0
I001860,2024-09-26,France,EMEA,Vaccines,Group Meeting,S00582,E00181,Market access discussion,64.0
I001861,2024-08-08,IN,APAC,Oncology,Congress/Conference,S01662,E00884,Advisory board discussion on unmet needs,131.0
I001862,2024-03-12,MX,Americas,Primary Care,1:1 Meeting,S00435,E00758,Speaker program educational session,19.0
I001863,2025-02-21,Mexico,Americas,Specialty,1:1 Meeting,S00406,E00255,Scientific exchange on clinical data,31.0
I001864,2025-05-11,DE,EMEA,Specialty,1:1 Meeting,S01717,E00696,Training and best practice sharing,29.0
I001865,2024-11-23,JP,APAC,Primary Care,Speaker Program,S01168,E00552,Follow-up,152.0
I001866,2025-03-22,GB,EMEA,Oncology,Speaker Program,S00510,E00842,Speaker program educational session,
I001867,2025-01-07,MEX,Americas,Oncology,Speaker Program,S01204,E00979,Advisory board discussion on unmet needs,47.0
I001868,2025-01-18,IND,APAC,Primary Care,1:1 Meeting,S00146,E00081,Advisory board discussion on unmet needs,30.0
I001869,2024-12-11,JP,APAC,Vaccines,Congress/Conference,S01579,E00530,Speaker program educational session,84.0
I001870,2024-07-12,IN,APAC,Specialty,Group Meeting,S00636,E00626,Training and best practice sharing,85.0
I001871,2025-01-14,IN,APAC,Primary Care,1:1 Meeting,S00249,E00916,Market access discussion,30.0
I001872,2024-01-11,IT,EMEA,Vaccines,Group Meeting,S00882,E00124,Training and best practice sharing,50.0
I001873,2024-07-05,United Kingdom,EMEA,Oncology,Advisory Board,S00270,E00010,Business discussion,487.0
I001874,2024-01-28,FRA,EMEA,Respiratory,1:1 Meeting,S01026,E00829,Scientific exchange on clinical data,32.0
I001875,2024-01-17,DE,EMEA,Oncology,Speaker Program,S01035,E00044,Meeting,87.0
I001876,2024-08-16,IN,APAC,Vaccines,Group Meeting,S01229,E00153,Congress meeting and follow-up,56.0
I001877,2024-07-28,JP,APAC,Oncology,1:1 Meeting,S00791,E00961,Market access discussion,16.0
I001878,2024-04-13,United States of America,Americas,Primary Care,Congress/Conference,S01221,E00047,Product information discussion (on-label),157.0
I001879,2024-07-22,JPN,APAC,Oncology,1:1 Meeting,S01074,E00036,Scientific exchange on clinical data,14.0
I001880,2024-01-31,United States,Americas,Primary Care,1:1 Meeting,S01295,E00198,Advisory board discussion on unmet needs,37.0
I001881,2024-05-14,CAN,Americas,Specialty,Speaker Program,S00820,E00619,Congress meeting and follow-up,83.0
I001882,2024-06-06,DE,EMEA,Primary Care,1:1 Meeting,S00419,E00422,Scientific exchange on clinical data,40.0
I001883,2024-03-07,Brazil,Americas,Oncology,1:1 Meeting,S00141,E00890,Speaker program educational session,16.0
I001884,2024-04-10,FRA,EMEA,Respiratory,Group Meeting,S01682,E00412,Scientific exchange on clinical data,52.0
I001885,2024-02-25,Italy,EMEA,Respiratory,Congress/Conference,S00034,E00738,Speaker program educational session,73.0
I001886,2025-01-15,DEU,EMEA,Oncology,1:1 Meeting,S00988,E00814,Congress meeting and follow-up,17.0
I001887,2024-04-01,JP,APAC,Oncology,Speaker Program,S00580,E00561,Market access discussion,98.0
I001888,2024-06-16,CAN,Americas,Primary Care,1:1 Meeting,S00049,E00674,Business discussion,25.0
I001889,2025-03-10,UK,EMEA,Specialty,1:1 Meeting,S01016,E00412,Product information discussion (on-label),24.0
I001890,2025-06-11,US,Americas,Primary Care,Advisory Board,S00451,E00791,Speaker program educational session,19.0
I001891,2024-10-04,IN,APAC,Specialty,Congress/Conference,S01008,E00709,Market access discussion,80.0
I001892,2025-04-10,Italy,EMEA,Oncology,Speaker Program,S01269,E00509,Advisory board discussion on unmet needs,52.0
I001893,2024-01-30,BR,Americas,Primary Care,1:1 Meeting,S00115,E00005,Speaker program educational session,29.0
I001894,2024-08-21,IND,APAC,Oncology,Group Meeting,S00210,E00189,Training and best practice sharing,33.0
I001895,2024-11-08,United Kingdom,EMEA,Specialty,Group Meeting,S01039,E00904,Market access discussion,78.0
I001896,2024-12-16,UK,EMEA,Specialty,1:1 Meeting,S01000,E00540,Congress meeting and follow-up,37.0
I001897,2024-06-28,Italy,EMEA,Primary Care,Speaker Program,S00801,E00627,Speaker program educational session,94.0
I001898,2024-04-05,United States,Americas,Primary Care,1:1 Meeting,S00306,E00258,Catch-up,24.0
I001899,2025-05-24,FRA,EMEA,Vaccines,Advisory Board,S00151,E00858,Product information discussion (on-label),311.0
I001900,2025-03-11,MX,Americas,Vaccines,Group Meeting,S01614,E00125,,38.0
I001901,2024-03-23,CA,Americas,Vaccines,Group Meeting,S01163,E00854,Congress meeting and follow-up,53.0
I001902,2024-04-16,GB,EMEA,Oncology,Congress/Conference,S01386,E00614,Market access discussion,142.0
I001903,2025-01-16,United States of America,Americas,Vaccines,Advisory Board,S00161,E00288,Training and best practice sharing,58.0
I001904,2025-04-12,IND,APAC,Primary Care,Speaker Program,S00701,E00944,Product information discussion (on-label),77.0
I001905,2025-06-21,US,Americas,Primary Care,1:1 Meeting,S01029,E00370,Catch-up,29.0
I001906,2024-03-13,IN,APAC,Respiratory,1:1 Meeting,S00436,E00071,Product information discussion (on-label),41.0
I001907,2024-11-04,U.S.,Americas,Specialty,1:1 Meeting,S01355,E00484,Advisory board discussion on unmet needs,28.0
I001908,2024-07-04,Germany,EMEA,Respiratory,1:1 Meeting,S01257,E00944,Congress meeting and follow-up,41.0
I001909,2024-09-09,IT,EMEA,Respiratory,1:1 Meeting,S00381,E00836,Scientific exchange on clinical data,40.0
I001910,2024-05-28,Japan,APAC,Oncology,1:1 Meeting,S00134,E00720,Advisory board discussion on unmet needs,29.0
I001911,2024-05-01,US,Americas,Respiratory,1:1 Meeting,S01319,E00341,Scientific exchange on clinical data,29.0
I001912,2024-06-04,United States of America,Americas,Primary Care,1:1 Meeting,S01068,E00410,Market access discussion,20.0
I001913,2024-08-25,MX,Americas,Respiratory,Advisory Board,S00143,E00479,Scientific exchange on clinical data,135.0
I001914,2024-09-29,JPN,APAC,Vaccines,Group Meeting,S00911,E00498,Congress meeting and follow-up,73.0
I001915,2024-02-13,U.S.,Americas,Specialty,Group Meeting,S00076,E00455,Congress meeting and follow-up,51.0
I001916,2024-11-25,Great Britain,EMEA,Vaccines,1:1 Meeting,S00049,E00175,Training and best practice sharing,21.0
I001917,2025-02-12,Italy,EMEA,Specialty,Advisory Board,S01364,E00678,Speaker program educational session,190.0
I001918,2024-03-29,DEU,EMEA,Vaccines,1:1 Meeting,S01393,E00028,Training and best practice sharing,37.0
I001919,2025-03-08,IND,APAC,Respiratory,1:1 Meeting,S00788,E00642,Market access discussion,33.0
I001920,2025-06-22,Great Britain,EMEA,Specialty,Speaker Program,S00931,E00222,Advisory board discussion on unmet needs,83.0
I001921,2024-05-25,IND,APAC,Specialty,Group Meeting,S00402,E00812,Training and best practice sharing,32.0
I001922,2025-05-17,Germany,EMEA,Respiratory,Speaker Program,S00982,E00675,Scientific exchange on clinical data,90.0
I001923,2024-09-27,DEU,EMEA,Specialty,Group Meeting,S01567,E00494,Speaker program educational session,40.0
I001924,2024-11-29,United States of America,Americas,Specialty,Group Meeting,S00948,E00623,Scientific exchange on clinical data,52.0
I001925,2024-06-17,Mexico,Americas,Specialty,Congress/Conference,S00760,E00769,Market access discussion,116.0
I001926,2024-07-17,USA,Americas,Primary Care,1:1 Meeting,S01287,E00662,Market access discussion,10.0
I001927,2024-07-29,BRA,Americas,Vaccines,Group Meeting,S00810,E00408,Congress meeting and follow-up,86.0
I001928,2025-04-16,United States,Americas,Vaccines,1:1 Meeting,S00356,E00399,Training and best practice sharing,24.0
I001929,2025-04-26,United States of America,Americas,Primary Care,1:1 Meeting,S00851,E00073,Training and best practice sharing,24.0
I001930,2024-10-22,U.S.,Americas,Vaccines,Group Meeting,S00003,E00049,Congress meeting and follow-up,44.0
I001931,2024-01-06,UK,EMEA,Respiratory,Speaker Program,S01394,E00704,Product information discussion (on-label),100.0
I001932,2024-07-21,U.S.,Americas,Primary Care,1:1 Meeting,S01084,E00128,Advisory board discussion on unmet needs,19.0
I001933,2024-11-20,UK,EMEA,Primary Care,Congress/Conference,S01485,E00430,Congress meeting and follow-up,131.0
I001934,2024-02-16,USA,Americas,Specialty,Group Meeting,S01078,E00745,Market access discussion,62.0
I001935,2024-01-13,United Kingdom,EMEA,Specialty,Advisory Board,S00537,E00783,Advisory board discussion on unmet needs,154.0
I001936,2024-12-07,ITA,EMEA,Oncology,1:1 Meeting,S00031,E00857,Discussed topics,22.0
I001937,2024-08-08,United States of America,Americas,Primary Care,Speaker Program,S01093,E00153,Scientific exchange on clinical data,86.0
I001938,2024-07-26,DE,EMEA,Respiratory,1:1 Meeting,S01733,E00640,Advisory board discussion on unmet needs,36.0
I001939,2024-05-03,JPN,APAC,Primary Care,1:1 Meeting,S01066,E00286,Training and best practice sharing,36.0
I001940,2024-02-29,ITA,EMEA,Vaccines,Group Meeting,S00238,E00077,Scientific exchange on clinical data,52.0
I001941,2025-03-17,U.S.,Americas,Respiratory,1:1 Meeting,S00175,E00862,Market access discussion,46.0
I001942,2024-06-13,IND,APAC,Specialty,Group Meeting,S01087,E00491,Market access discussion,77.0
I001943,2024-03-31,India,APAC,Oncology,Congress/Conference,S00959,E00173,,236.0
I001944,2024-03-05,U.S.,Americas,Respiratory,1:1 Meeting,S01097,E00816,Congress meeting and follow-up,0.0
I001945,2025-05-30,Japan,APAC,Oncology,Congress/Conference,S01632,E00585,Speaker program educational session,138.0
I001946,2024-03-14,MX,Americas,Specialty,Advisory Board,S00925,E00276,Product information discussion (on-label),163.0
I001947,2024-07-05,US,Americas,Respiratory,1:1 Meeting,S00728,E00403,Speaker program educational session,23.0
I001948,2024-08-27,IND,APAC,Specialty,Advisory Board,S00063,E00816,Market access discussion,184.0
I001949,2025-06-16,United States,Americas,Specialty,1:1 Meeting,S01306,E00573,Advisory board discussion on unmet needs,12.0
I001950,2024-03-10,UK,EMEA,Respiratory,1:1 Meeting,S00171,E00176,Speaker program educational session,26.0
I001951,2025-01-19,United States,Americas,Oncology,Speaker Program,S00132,E00632,Speaker program educational session,75.0
I001952,2025-03-06,IT,EMEA,Specialty,1:1 Meeting,S01430,E00441,Discussed topics,17.0
I001953,2024-11-20,FR,EMEA,Vaccines,1:1 Meeting,S00040,E00019,Speaker program educational session,
I001954,2024-02-29,IN,APAC,Specialty,1:1 Meeting,S00355,E00213,Advisory board discussion on unmet needs,24.0
I001955,2025-01-31,U.S.,Americas,Respiratory,Advisory Board,S01445,E00927,Speaker program educational session,216.0
I001956,2024-02-07,FRA,EMEA,Specialty,1:1 Meeting,S00891,E00786,Scientific exchange on clinical data,44.0
I001957,2024-01-25,Italy,EMEA,Vaccines,1:1 Meeting,S01607,E00437,Scientific exchange on clinical data,16.0
I001958,2024-06-06,DEU,EMEA,Primary Care,Group Meeting,S00132,E00966,Scientific exchange on clinical data,70.0
I001959,2025-03-08,Germany,EMEA,Primary Care,1:1 Meeting,S00205,E00338,Product information discussion (on-label),9.0
I001960,2025-03-24,BRA,Americas,Respiratory,Speaker Program,S00197,E00122,Training and best practice sharing,
I001961,2024-09-13,CAN,Americas,Oncology,Speaker Program,S01473,E00792,Advisory board discussion on unmet needs,88.0
I001962,2025-02-16,US,Americas,Respiratory,Congress/Conference,S00665,E00516,Speaker program educational session,68.0
I001963,2025-03-09,India,APAC,Primary Care,1:1 Meeting,S00829,E00179,Scientific exchange on clinical data,20.0
I001964,2024-12-31,United States of America,Americas,Primary Care,Group Meeting,S01674,E00333,Market access discussion,67.0
I001965,2025-02-23,United States of America,Americas,Vaccines,Advisory Board,S00912,E00283,Speaker program educational session,273.0
I001966,2025-03-19,UK,EMEA,Respiratory,Speaker Program,S01555,E00608,Training and best practice sharing,55.0
I001967,2025-03-09,US,Americas,Specialty,1:1 Meeting,S01439,E00337,Advisory board discussion on unmet needs,24.0
I001968,2024-06-26,MEX,Americas,Oncology,1:1 Meeting,S01016,E00614,Product information discussion (on-label),38.0
I001969,2024-10-19,DE,EMEA,Primary Care,Group Meeting,S00958,E00422,Market access discussion,60.0
I001970,2024-05-18,USA,Americas,Respiratory,Congress/Conference,S01739,E00366,Business discussion,141.0
