stakeholder_id,stakeholder_type,country,specialty,risk_tier,onboarding_date
S00495,HCP,Canada,Infectious Disease,High,2022-09-18
S00496,HCP,United Kingdom,Pulmonology,Low,2021-05-06
S00497,HCP,India,Oncology,Medium,2021-03-02
S00498,HCP,France,Infectious Disease,Low,2021-12-27
S00499,HCP,Mexico,Neurology,High,2021-11-09
S00500,HCP,Mexico,Hematology,Low,2021-05-09
S00501,HCP,India,Neurology,Low,2023-01-09
S00502,HCP,Germany,Infectious Disease,Low,2021-05-05
S00503,HCP,Japan,Oncology,Low,2022-03-05
S00504,HCO,India,Organization,Low,2022-12-25
S00505,HCP,France,Ophthalmology,Medium,2021-03-06
S00506,HCP,Mexico,Endocrinology,Low,2022-02-25
S00507,HCP,United Kingdom,Ophthalmology,Low,2023-10-04
S00508,HCP,United States,Rheumatology,Low,2022-02-03
S00509,HCP,Italy,Neurology,Low,2022-07-11
S00510,HCP,Brazil,Ophthalmology,Medium,2021-12-31
S00511,HCP,Japan,Cardiology,Medium,2021-08-16
S00512,HCP,India,Pulmonology,Medium,2023-11-22
S00513,HCP,Canada,Rheumatology,Low,2021-12-23
S00514,HCP,United Kingdom,Gastroenterology,Low,2022-08-18
S00515,HCP,India,Nephrology,Low,2021-05-18
S00516,HCP,Canada,Oncology,Low,2021-06-17
S00517,HCP,Germany,Nephrology,,2022-09-28
S00518,HCO,United Kingdom,Organization,Medium,2021-12-31
S00519,HCP,Italy,Rheumatology,Low,2021-12-11
S00520,HCP,United States,Psychiatry,Low,2021-06-21
S00521,HCP,Japan,Endocrinology,Medium,2021-07-07
S00522,HCP,United Kingdom,Ophthalmology,Medium,2022-12-08
S00523,HCP,France,Primary Care,Medium,2021-08-02
S00524,HCP,Brazil,Gastroenterology,Medium,2023-04-21
S00525,HCP,United Kingdom,Primary Care,Low,2022-01-23
S00526,HCP,Italy,Pediatrics,Low,2022-10-09
S00527,HCP,India,Nephrology,High,2023-12-23
S00528,HCP,United States,Pulmonology,,2021-09-30
S00529,HCP,Canada,Psychiatry,Low,2021-10-26
S00530,HCP,Japan,Pediatrics,Medium,2021-08-08
S00531,HCP,India,Pediatrics,Low,2021-03-09
S00532,HCO,Canada,Organization,Low,2021-03-22
S00533,HCP,United States,Rheumatology,Low,2022-12-24
S00534,HCP,Italy,Nephrology,Medium,2021-01-08
S00535,HCO,Japan,Organization,Medium,2023-08-09
S00536,HCP,United States,Gastroenterology,Low,2023-05-23
S00537,HCO,Mexico,Organization,Low,2023-07-09
S00538,HCP,India,Endocrinology,Low,2021-09-01
S00539,HCP,United Kingdom,Neurology,Medium,2023-10-31
S00540,HCP,Brazil,Dermatology,,2021-09-27
S00541,HCP,Brazil,Dermatology,High,2021-10-29
S00542,HCP,Brazil,Psychiatry,Low,2022-02-12
S00543,HCP,Japan,Neurology,Medium,2023-09-19
S00544,HCP,Brazil,Primary Care,Medium,2022-08-09
S00545,HCO,India,Organization,Low,2022-12-13
S00546,HCO,Mexico,Organization,Medium,2022-11-23
S00547,HCP,Brazil,Psychiatry,Low,2021-10-01
S00548,HCP,Japan,Psychiatry,Low,2022-08-02
S00549,HCP,Italy,Pulmonology,High,2022-09-13
S00550,HCP,Brazil,Primary Care,Medium,2022-01-23
S00551,HCP,Italy,Pediatrics,High,2021-11-22
S00552,HCP,Italy,Cardiology,Low,2021-02-19
S00553,HCP,Mexico,Oncology,Medium,2021-04-10
S00554,HCP,France,Gastroenterology,,2022-02-24
S00555,HCP,France,Ophthalmology,High,2022-01-18
S00556,HCP,Japan,Dermatology,Medium,2023-10-11
S00557,HCP,Brazil,Pediatrics,Low,2022-10-02
S00558,HCP,Germany,Dermatology,Low,2024-01-01
S00559,HCO,United States,Organization,Low,2023-11-12
S00560,HCO,France,Organization,Low,2022-02-16
S00561,HCP,India,Endocrinology,High,2022-01-15
S00562,HCO,Brazil,Organization,Low,2022-10-10
S00563,HCP,Canada,Ophthalmology,,2021-08-04
S00564,HCP,Brazil,Pediatrics,Low,2022-09-01
S00565,HCO,Japan,Organization,Low,2023-11-29
S00566,HCP,United Kingdom,Dermatology,Medium,2023-09-29
S00567,HCP,Mexico,Infectious Disease,Medium,2023-08-01
S00568,HCP,France,Neurology,Medium,2023-04-27
S00569,HCP,Canada,Dermatology,Low,2022-02-27
S00570,HCP,India,Gastroenterology,Low,2022-10-21
S00571,HCP,India,Endocrinology,,2023-09-06
S00572,HCP,Japan,Dermatology,Low,2021-11-22
S00573,HCP,India,Nephrology,Low,2023-04-09
S00574,HCP,Mexico,Psychiatry,Medium,2021-01-19
S00575,HCP,Brazil,Psychiatry,Low,2023-05-11
S00576,HCP,Germany,Endocrinology,Low,2022-12-09
S00577,HCO,United Kingdom,Organization,High,2021-04-17
S00578,HCP,Brazil,Pediatrics,High,2021-11-30
S00579,HCP,Brazil,Dermatology,Low,2022-11-27
S00580,HCP,France,Infectious Disease,Medium,2022-04-18
S00581,HCP,Canada,Psychiatry,Low,2021-11-26
S00582,HCP,Japan,Nephrology,Medium,2021-06-27
S00583,HCP,Italy,Pediatrics,Medium,2021-09-01
S00584,HCP,Germany,Gastroenterology,Medium,2022-06-03
S00585,HCO,Germany,Organization,Low,2023-10-19
S00586,HCO,United Kingdom,Organization,Low,2022-10-24
S00587,HCP,United Kingdom,Neurology,High,2023-09-21
S00588,HCP,Japan,Dermatology,Medium,2021-11-29
S00589,HCP,Japan,Gastroenterology,Low,2021-12-25
S00590,HCP,United States,Gastroenterology,Low,2021-10-18
S00591,HCP,Canada,Infectious Disease,Medium,2023-09-26
S00592,HCP,Brazil,Rheumatology,Low,2021-10-26
S00593,HCP,United States,Primary Care,Low,2021-08-26
S00594,HCP,India,Oncology,Low,2022-10-24
S00595,HCO,United States,Organization,Low,2022-10-12
S00596,HCP,Japan,Rheumatology,Low,2023-04-28
S00597,HCP,France,Psychiatry,Medium,2023-07-20
S00598,HCP,India,Ophthalmology,Low,2021-04-23
S00599,HCP,India,Pediatrics,,2021-03-18
S00600,HCP,United Kingdom,Hematology,Low,2022-07-09
S00601,HCO,France,Organization,Low,2021-12-04
S00602,HCP,France,Dermatology,Medium,2023-10-13
S00603,HCO,United States,Organization,Low,2023-08-22
S00604,HCP,United Kingdom,Rheumatology,Medium,2021-10-27
S00605,HCP,Italy,Endocrinology,Low,2021-07-16
S00606,HCP,Germany,Pediatrics,Low,2023-08-17
S00607,HCP,United States,Oncology,Low,2023-07-02
S00608,HCP,United States,Pediatrics,Medium,2021-11-08
S00609,HCP,United States,Cardiology,Low,2021-04-23
S00610,HCP,Italy,Nephrology,High,2023-10-25
S00611,HCP,Italy,Pulmonology,Low,2022-07-05
S00612,HCP,Canada,Primary Care,Medium,2023-11-10
S00613,HCP,Mexico,Ophthalmology,Low,2023-06-11
S00614,HCP,United Kingdom,Pulmonology,Low,2023-08-29
S00615,HCO,United Kingdom,Organization,High,2023-11-20
S00616,HCP,France,Rheumatology,Medium,2023-09-13
S00617,HCO,United States,Organization,High,2021-12-02
S00618,HCP,India,Neurology,Medium,2021-09-06
S00619,HCP,India,Rheumatology,Low,2023-09-29
S00620,HCP,United Kingdom,Hematology,Low,2021-07-16
S00621,HCP,France,Ophthalmology,Low,2023-01-07
S00622,HCO,India,Organization,Medium,2021-07-16
S00623,HCP,France,Pulmonology,Low,2023-03-27
S00624,HCO,Germany,Organization,Medium,2022-03-06
S00625,HCP,Germany,Hematology,Low,2023-10-01
S00626,HCP,Brazil,Primary Care,Medium,2022-03-01
S00627,HCP,Germany,Nephrology,Medium,2023-11-02
S00628,HCP,United Kingdom,Dermatology,High,2022-04-08
S00629,HCP,Mexico,Ophthalmology,Low,2021-01-22
S00630,HCO,Italy,Organization,Low,2021-03-09
S00631,HCO,Japan,Organization,Medium,2022-05-08
S00632,HCP,Italy,Dermatology,Medium,2022-02-19
S00633,HCP,Brazil,Gastroenterology,Medium,2022-07-17
S00634,HCP,Brazil,Gastroenterology,High,2021-09-16
S00635,HCP,Japan,Psychiatry,Low,2022-03-28
S00636,HCO,Mexico,Organization,Low,2023-05-14
S00637,HCP,India,Hematology,Low,2022-07-27
S00638,HCP,France,Gastroenterology,High,2023-01-21
S00639,HCP,Canada,Pulmonology,Low,2021-01-27
S00640,HCP,Mexico,Primary Care,Medium,2022-07-05
S00641,HCP,Japan,Pediatrics,Low,2021-10-30
S00642,HCO,Japan,Organization,Medium,2023-04-28
S00643,HCP,Japan,Psychiatry,Medium,2023-11-16
S00644,HCP,France,Gastroenterology,Low,2023-06-02
S00645,HCO,United Kingdom,Organization,,2023-05-08
S00646,HCP,United Kingdom,Hematology,Low,2021-01-17
S00647,HCP,United States,Rheumatology,Low,2023-01-17
S00648,HCP,Italy,Endocrinology,Low,2023-09-17
S00649,HCP,United Kingdom,Cardiology,Medium,2021-09-23
S00650,HCO,Canada,Organization,Medium,2023-11-15
S00651,HCP,United States,Gastroenterology,Low,2023-01-30
S00652,HCP,United States,Pulmonology,Low,2021-02-16
S00653,HCP,Brazil,Hematology,Medium,2021-10-20
S00654,HCP,India,Ophthalmology,Low,2023-12-25
S00655,HCP,Germany,Dermatology,Low,2022-04-17
S00656,HCP,United Kingdom,Neurology,Low,2022-01-13
S00657,HCP,India,Rheumatology,Low,2023-03-05
S00658,HCO,Italy,Organization,Low,2022-04-03
S00659,HCP,Germany,Hematology,Medium,2023-11-07
S00660,HCP,United States,Rheumatology,Low,2022-01-06
S00661,HCP,Japan,Cardiology,Medium,2022-07-25
S00662,HCP,Germany,Rheumatology,Medium,2022-09-15
S00663,HCP,Mexico,Hematology,,2023-12-05
S00664,HCO,Japan,Organization,Low,2023-10-16
S00665,HCP,Canada,Cardiology,High,2023-01-02
S00666,HCO,Brazil,Organization,Medium,2022-03-07
S00667,HCP,United States,Hematology,Low,2022-07-25
S00668,HCP,Italy,Nephrology,Medium,2022-02-02
S00669,HCO,India,Organization,Low,2021-08-02
S00670,HCP,Canada,Hematology,Medium,2021-03-07
S00671,HCP,United Kingdom,Nephrology,Medium,2021-03-11
S00672,HCP,Germany,Neurology,Low,2021-06-27
S00673,HCP,India,Oncology,Low,2021-12-13
S00674,HCO,Canada,Organization,Low,2023-01-04
S00675,HCP,Mexico,Pulmonology,Medium,2021-10-18
S00676,HCP,Japan,Neurology,Medium,2021-12-24
S00677,HCP,India,Pediatrics,Medium,2021-02-27
S00678,HCP,India,Primary Care,Low,2022-09-04
S00679,HCP,Italy,Oncology,Low,2023-12-05
S00680,HCP,India,Pediatrics,Low,2022-01-18
S00681,HCP,India,Oncology,Low,2021-02-03
S00682,HCP,Brazil,Nephrology,Low,2023-10-08
S00683,HCP,France,Rheumatology,Low,2023-08-29
S00684,HCP,United Kingdom,Oncology,Low,2021-10-12
S00685,HCP,Mexico,Primary Care,Medium,2022-07-14
S00686,HCO,Mexico,Organization,Low,2023-08-10
S00687,HCP,India,Oncology,Medium,2023-12-08
S00688,HCO,United Kingdom,Organization,,2023-10-27
S00689,HCP,Canada,Pediatrics,Low,2023-05-14
S00690,HCP,France,Pulmonology,Low,2023-09-15
S00691,HCP,Germany,Pulmonology,Low,2023-09-13
S00692,HCP,Japan,Neurology,Low,2023-05-19
S00693,HCP,Italy,Infectious Disease,Medium,2023-09-13
S00694,HCP,Italy,Endocrinology,Low,2023-11-29
S00695,HCP,India,Primary Care,Low,2022-04-19
S00696,HCP,Mexico,Rheumatology,Medium,2021-12-15
S00697,HCP,Canada,Neurology,Medium,2022-05-17
S00698,HCP,Italy,Endocrinology,,2022-11-03
S00699,HCP,Mexico,Psychiatry,Medium,2022-04-29
S00700,HCP,India,Neurology,Low,2022-02-09
S00701,HCP,India,Ophthalmology,Medium,2023-02-21
S00702,HCO,Canada,Organization,Low,2021-08-08
S00703,HCP,United Kingdom,Psychiatry,Low,2022-03-11
S00704,HCP,Italy,Pulmonology,Medium,2023-03-31
S00705,HCP,Germany,Nephrology,Medium,2022-04-18
S00706,HCP,Japan,Pulmonology,Low,2022-08-04
S00707,HCP,France,Nephrology,Low,2021-09-11
S00708,HCO,Japan,Organization,Low,2023-01-17
S00709,HCP,India,Ophthalmology,High,2021-10-01
S00710,HCP,India,Nephrology,,2021-12-04
S00711,HCP,United Kingdom,Ophthalmology,Low,2021-07-17
S00712,HCP,Italy,Neurology,Low,2023-05-04
S00713,HCP,Canada,Pediatrics,Medium,2022-07-08
S00714,HCO,India,Organization,Low,2021-02-02
S00715,HCP,India,Oncology,Low,2023-05-18
S00716,HCP,United Kingdom,Gastroenterology,Medium,2022-07-03
S00717,HCP,Canada,Neurology,Low,2021-06-26
S00718,HCP,Canada,Endocrinology,Low,2023-12-27
S00719,HCP,United States,Pulmonology,Low,2022-09-21
S00720,HCP,Germany,Psychiatry,Low,2023-10-19
S00721,HCP,Brazil,Nephrology,Low,2023-12-29
S00722,HCP,Germany,Oncology,Low,2022-03-27
S00723,HCP,Japan,Pulmonology,Low,2023-09-06
S00724,HCP,Germany,Neurology,Medium,2021-08-04
S00725,HCO,France,Organization,Medium,2022-08-16
S00726,HCP,United Kingdom,Endocrinology,Low,2021-05-30
S00727,HCO,India,Organization,Low,2022-06-07
S00728,HCP,India,Endocrinology,Medium,2023-06-22
S00729,HCP,India,Psychiatry,Medium,2021-09-07
S00730,HCP,Italy,Rheumatology,Low,2022-01-17
S00731,HCP,Italy,Nephrology,Medium,2021-02-16
S00732,HCP,Germany,Nephrology,High,2023-07-13
S00733,HCP,France,Dermatology,Low,2023-02-10
S00734,HCP,Italy,Infectious Disease,Low,2021-09-18
S00735,HCP,Mexico,Primary Care,Low,2022-01-08
S00736,HCP,Germany,Hematology,Low,2023-05-22
S00737,HCP,France,Psychiatry,Medium,2022-07-19
S00738,HCP,Canada,Pediatrics,Low,2023-09-11
S00739,HCP,Germany,Oncology,Low,2023-08-15
S00740,HCP,France,Rheumatology,Medium,2022-06-22
S00741,HCP,Canada,Endocrinology,Low,2024-01-01
S00742,HCP,United Kingdom,Pediatrics,High,2023-10-04
S00743,HCP,France,Infectious Disease,Low,2022-03-19
S00744,HCP,France,Infectious Disease,Medium,2023-02-16
S00745,HCO,Mexico,Organization,Low,2023-08-16
S00746,HCP,Italy,Gastroenterology,Low,2021-09-09
S00747,HCP,Japan,Infectious Disease,Low,2023-04-18
S00748,HCP,Japan,Oncology,Medium,2021-07-14
S00749,HCP,Italy,Pulmonology,Low,2022-02-11
S00750,HCP,Japan,Infectious Disease,Medium,2023-12-23
S00751,HCP,Japan,Oncology,Medium,2023-04-16
S00752,HCP,Brazil,Hematology,,2023-07-14
S00753,HCP,United Kingdom,Cardiology,Medium,2021-07-18
S00754,HCP,Japan,Rheumatology,Low,2023-12-20
S00755,HCP,Italy,Cardiology,Low,2023-02-15
S00756,HCO,Mexico,Organization,Low,2023-02-07
S00757,HCP,Germany,Dermatology,Low,2021-11-08
S00758,HCP,Canada,Hematology,Medium,2021-11-16
S00759,HCP,India,Endocrinology,Medium,2021-07-05
S00760,HCP,Italy,Primary Care,Low,2023-02-18
S00761,HCP,Brazil,Endocrinology,Low,2023-05-11
S00762,HCP,Brazil,Pulmonology,,2023-02-02
S00763,HCO,United Kingdom,Organization,Medium,2022-12-22
S00764,HCP,Germany,Nephrology,Medium,2022-05-24
S00765,HCO,United States,Organization,High,2022-08-07
S00766,HCP,France,Endocrinology,Low,2021-06-28
S00767,HCP,Mexico,Nephrology,Medium,2021-08-12
S00768,HCP,India,Primary Care,Medium,2023-04-07
S00769,HCP,India,Oncology,Medium,2021-10-26
S00770,HCP,Germany,Psychiatry,Low,2022-01-07
S00771,HCP,Mexico,Infectious Disease,Low,2023-12-28
S00772,HCO,United States,Organization,Medium,2021-09-03
S00773,HCP,India,Infectious Disease,Medium,2023-10-16
S00774,HCO,Mexico,Organization,Medium,2022-06-07
S00775,HCP,India,Rheumatology,Medium,2023-08-23
S00776,HCP,Japan,Hematology,Low,2022-05-11
S00777,HCP,United Kingdom,Primary Care,High,2021-01-31
S00778,HCO,Mexico,Organization,Medium,2023-10-05
S00779,HCP,United States,Nephrology,Medium,2022-11-26
S00780,HCP,United States,Hematology,Low,2023-03-12
S00781,HCP,Japan,Rheumatology,Low,2022-04-26
S00782,HCO,France,Organization,Low,2021-10-24
S00783,HCP,Brazil,Neurology,Low,2022-11-06
S00784,HCP,Mexico,Pediatrics,Low,2021-02-19
S00785,HCP,India,Psychiatry,Medium,2022-06-06
S00786,HCP,Italy,Oncology,Medium,2023-08-12
S00787,HCP,United States,Oncology,Low,2021-04-14
S00788,HCP,Italy,Infectious Disease,Low,2022-03-08
S00789,HCP,Mexico,Hematology,Low,2023-08-10
S00790,HCP,Japan,Dermatology,Low,2021-03-31
S00791,HCP,Germany,Neurology,High,2022-08-17
S00792,HCP,France,Hematology,Medium,2021-10-03
S00793,HCP,France,Pediatrics,Low,2023-09-20
S00794,HCP,United Kingdom,Primary Care,Medium,2021-02-03
S00795,HCP,Japan,Dermatology,Medium,2023-06-18
S00796,HCO,France,Organization,Medium,2022-06-02
S00797,HCO,Japan,Organization,Low,2022-12-07
S00798,HCP,Germany,Oncology,Medium,2022-06-27
S00799,HCP,India,Rheumatology,Low,2021-02-27
S00800,HCP,France,Pediatrics,Low,2022-09-11
S00801,HCP,United Kingdom,Psychiatry,Medium,2021-06-23
S00802,HCP,United States,Pediatrics,High,2022-11-08
S00803,HCP,Italy,Gastroenterology,Low,2023-07-29
S00804,HCP,India,Cardiology,Medium,2022-07-01
S00805,HCP,Italy,Oncology,Low,2021-03-17
S00806,HCP,Canada,Ophthalmology,,2021-04-10
S00807,HCO,Mexico,Organization,Low,2021-05-26
S00808,HCP,Canada,Gastroenterology,Medium,2023-03-19
S00809,HCO,Japan,Organization,Medium,2023-06-20
S00810,HCP,United States,Cardiology,Low,2022-05-14
S00811,HCO,United States,Organization,High,2022-08-03
S00812,HCP,India,Pediatrics,Medium,2021-08-20
S00813,HCP,India,Rheumatology,Low,2021-10-18
S00814,HCP,United Kingdom,Endocrinology,Low,2021-10-09
S00815,HCP,Brazil,Ophthalmology,Low,2023-05-19
S00816,HCP,France,Rheumatology,Medium,2023-05-31
S00817,HCP,Germany,Rheumatology,Medium,2021-05-29
S00818,HCP,Italy,Oncology,High,2023-12-18
S00819,HCP,Germany,Primary Care,Low,2023-11-16
S00820,HCP,France,Psychiatry,Low,2023-02-12
S00821,HCP,United States,Neurology,Low,2021-09-10
S00822,HCP,Brazil,Endocrinology,Medium,2023-08-25
S00823,HCP,Brazil,Oncology,Medium,2023-09-29
S00824,HCP,United States,Rheumatology,Low,2022-04-15
S00825,HCP,Germany,Primary Care,Medium,2021-12-08
S00826,HCP,Japan,Neurology,Low,2021-10-30
S00827,HCP,Canada,Endocrinology,Low,2023-10-25
S00828,HCO,Germany,Organization,Medium,2023-12-22
S00829,HCP,Germany,Gastroenterology,Low,2021-08-13
S00830,HCP,United States,Infectious Disease,Low,2022-07-01
S00831,HCP,France,Hematology,Low,2022-01-20
S00832,HCP,India,Dermatology,Low,2023-12-10
S00833,HCP,Mexico,Oncology,Medium,2021-10-09
S00834,HCP,Germany,Ophthalmology,Low,2023-01-21
S00835,HCP,Italy,Cardiology,,2023-03-06
S00836,HCO,Germany,Organization,High,2023-01-04
S00837,HCP,Brazil,Gastroenterology,Low,2022-12-02
S00838,HCP,Mexico,Primary Care,Medium,2023-05-29
S00839,HCP,Canada,Neurology,Medium,2023-08-14
S00840,HCO,Japan,Organization,Medium,2021-05-19
S00841,HCP,United Kingdom,Dermatology,Low,2021-04-22
S00842,HCP,India,Gastroenterology,Low,2021-04-14
S00843,HCO,United States,Organization,Low,2021-09-26
S00844,HCP,India,Psychiatry,Low,2022-02-18
S00845,HCP,Italy,Dermatology,Low,2021-04-03
S00846,HCO,United States,Organization,Low,2023-01-11
S00847,HCP,Brazil,Ophthalmology,Low,2021-03-30
S00848,HCP,United Kingdom,Ophthalmology,Low,2021-07-28
S00849,HCP,Germany,Gastroenterology,Low,2023-08-28
S00850,HCP,India,Primary Care,Low,2021-03-29
S00851,HCP,France,Pulmonology,High,2022-05-08
S00852,HCP,India,Psychiatry,Low,2021-03-24
S00853,HCP,Japan,Oncology,High,2023-11-12
S00854,HCP,France,Primary Care,Low,2021-02-13
S00855,HCP,Germany,Infectious Disease,Low,2021-11-14
S00856,HCP,Germany,Nephrology,Low,2021-10-10
S00857,HCP,Brazil,Hematology,Low,2022-11-08
S00858,HCP,France,Pulmonology,Medium,2021-04-24
S00859,HCP,Canada,Hematology,High,2021-09-29
S00860,HCP,France,Dermatology,,2021-03-13
S00861,HCP,India,Pediatrics,Low,2022-06-14
S00862,HCP,France,Rheumatology,High,2022-12-27
S00863,HCP,United Kingdom,Dermatology,Low,2021-06-10
S00864,HCP,Germany,Endocrinology,Low,2022-03-12
S00865,HCP,United States,Dermatology,Low,2021-05-08
S00866,HCP,India,Pediatrics,High,2023-06-14
S00867,HCP,Germany,Pulmonology,High,2023-02-23
S00868,HCP,Germany,Oncology,Low,2023-09-07
S00869,HCP,Japan,Oncology,High,2021-06-09
S00870,HCP,Mexico,Infectious Disease,Low,2022-06-06
S00871,HCP,Canada,Psychiatry,Low,2023-05-03
S00872,HCP,United States,Rheumatology,Low,2022-07-14
S00873,HCO,Italy,Organization,Low,2023-10-19
S00874,HCO,Japan,Organization,Low,2022-12-12
S00875,HCP,Canada,Pediatrics,Low,2022-09-14
S00876,HCO,India,Organization,Low,2022-11-10
S00877,HCP,Germany,Endocrinology,Low,2023-01-20
S00878,HCP,United Kingdom,Nephrology,Low,2022-04-02
S00879,HCO,United States,Organization,Medium,2021-06-07
S00880,HCP,Mexico,Nephrology,Low,2021-05-22
S00881,HCP,Canada,Rheumatology,Low,2021-08-09
S00882,HCP,United States,Dermatology,Low,2021-11-30
S00883,HCP,Brazil,Infectious Disease,Low,2022-03-09
S00884,HCO,Canada,Organization,,2023-12-08
S00885,HCP,Germany,Dermatology,Low,2022-01-22
S00886,HCP,United States,Dermatology,Medium,2023-07-09
S00887,HCP,India,Hematology,,2023-03-23
S00888,HCP,France,Primary Care,Low,2023-10-31
S00889,HCO,Mexico,Organization,Low,2021-04-04
S00890,HCO,Mexico,Organization,Medium,2022-03-11
S00891,HCO,Canada,Organization,Medium,2022-03-07
S00892,HCP,Japan,Endocrinology,Low,2023-07-30
S00893,HCP,Germany,Primary Care,Low,2021-01-24
S00894,HCP,United Kingdom,Neurology,High,2021-05-10
S00895,HCP,Italy,Neurology,Medium,2021-09-05
S00896,HCP,Mexico,Endocrinology,Medium,2022-02-12
S00897,HCP,France,Hematology,Low,2023-08-07
S00898,HCO,Mexico,Organization,Low,2023-01-25
S00899,HCP,India,Neurology,Low,2022-09-13
S00900,HCO,France,Organization,Medium,2021-01-10
S00901,HCP,India,Infectious Disease,Medium,2022-06-20
S00902,HCP,France,Gastroenterology,Medium,2023-02-09
S00903,HCP,Canada,Dermatology,Medium,2021-04-17
S00904,HCP,France,Psychiatry,Medium,2023-06-01
S00905,HCP,France,Cardiology,High,2022-10-24
S00906,HCP,Canada,Nephrology,,2021-05-25
S00907,HCP,United States,Neurology,High,2022-01-09
S00908,HCP,Canada,Primary Care,Low,2023-12-01
S00909,HCP,Japan,Psychiatry,Low,2022-03-03
S00910,HCO,Mexico,Organization,Low,2023-03-23
S00911,HCP,Germany,Pediatrics,Medium,2022-10-30
S00912,HCP,Mexico,Pulmonology,Low,2023-03-22
S00913,HCP,India,Nephrology,Low,2021-02-23
S00914,HCP,Brazil,Infectious Disease,Medium,2023-12-15
S00915,HCO,France,Organization,Low,2021-11-24
S00916,HCP,India,Rheumatology,Low,2022-05-22
S00917,HCP,Japan,Primary Care,Medium,2021-03-28
S00918,HCP,Italy,Oncology,Medium,2023-06-22
S00919,HCP,United States,Neurology,Low,2022-08-18
S00920,HCP,Germany,Endocrinology,High,2021-04-19
S00921,HCP,France,Gastroenterology,High,2023-09-10
S00922,HCP,Germany,Primary Care,High,2021-05-30
S00923,HCP,United States,Pediatrics,Low,2021-09-23
S00924,HCP,India,Oncology,Low,2021-06-21
S00925,HCP,Italy,Gastroenterology,Medium,2023-11-08
S00926,HCP,United Kingdom,Pulmonology,Low,2021-10-24
S00927,HCP,Germany,Primary Care,Low,2021-11-15
S00928,HCP,Japan,Neurology,Low,2023-07-24
S00929,HCP,Germany,Pediatrics,Medium,2023-10-07
S00930,HCP,United Kingdom,Cardiology,Low,2023-11-08
S00931,HCO,Brazil,Organization,Low,2021-03-06
S00932,HCP,Germany,Rheumatology,Low,2021-09-21
S00933,HCP,Brazil,Gastroenterology,Low,2023-02-23
S00934,HCO,Mexico,Organization,Low,2021-12-04
S00935,HCP,Japan,Infectious Disease,Low,2022-10-16
S00936,HCP,Italy,Primary Care,Low,2023-02-08
S00937,HCP,Germany,Neurology,Medium,2021-01-19
S00938,HCO,India,Organization,Medium,2021-12-02
S00939,HCP,United Kingdom,Rheumatology,Medium,2022-06-02
S00940,HCO,India,Organization,Medium,2021-01-22
S00941,HCP,Japan,Dermatology,Low,2021-03-31
S00942,HCP,Germany,Hematology,Medium,2023-09-28
S00943,HCP,United Kingdom,Gastroenterology,Medium,2021-10-10
S00944,HCP,Canada,Nephrology,Low,2022-08-29
S00945,HCO,France,Organization,Medium,2022-10-07
S00946,HCP,France,Oncology,,2023-07-21
S00947,HCP,India,Hematology,Medium,2023-07-04
S00948,HCP,Germany,Ophthalmology,Medium,2022-09-20
S00949,HCP,Germany,Gastroenterology,Low,2021-07-06
S00950,HCO,Mexico,Organization,Low,2021-12-28
S00951,HCP,United States,Primary Care,Medium,2021-10-01
S00952,HCP,India,Endocrinology,Low,2021-06-02
S00953,HCP,Canada,Oncology,High,2023-12-26
S00954,HCP,Canada,Nephrology,Low,2023-02-06
S00955,HCO,United Kingdom,Organization,High,2021-11-18
S00956,HCP,Brazil,Infectious Disease,Medium,2023-08-04
S00957,HCP,Japan,Pulmonology,Low,2023-08-08
S00958,HCP,Canada,Psychiatry,Low,2021-07-01
S00959,HCO,India,Organization,Low,2022-02-01
S00960,HCP,Germany,Infectious Disease,High,2023-10-12
S00961,HCP,Mexico,Hematology,Medium,2022-08-06
S00962,HCP,Brazil,Infectious Disease,High,2021-10-09
S00963,HCO,Germany,Organization,Low,2022-01-23
S00964,HCO,Brazil,Organization,Low,2021-12-17
S00965,HCP,Mexico,Rheumatology,Medium,2021-03-15
S00966,HCP,Japan,Dermatology,High,2022-01-25
S00967,HCP,India,Nephrology,Low,2022-09-18
S00968,HCP,Mexico,Gastroenterology,Medium,2022-12-02
S00969,HCP,Germany,Gastroenterology,Low,2023-04-16
S00970,HCO,United Kingdom,Organization,Low,2021-10-19
S00971,HCO,Italy,Organization,Low,2021-06-12
S00972,HCP,United States,Infectious Disease,Low,2021-07-11
S00973,HCP,Mexico,Pulmonology,Low,2021-01-20
S00974,HCP,Japan,Pediatrics,High,2021-06-06
S00975,HCP,United States,Infectious Disease,Medium,2021-08-31
S00976,HCO,France,Organization,Low,2022-05-19
S00977,HCP,United Kingdom,Endocrinology,Medium,2022-01-18
S00978,HCP,Brazil,Psychiatry,Low,2022-04-10
S00979,HCP,United States,Endocrinology,High,2023-11-04
S00980,HCO,Italy,Organization,Medium,2023-08-27
S00981,HCP,Italy,Rheumatology,Low,2021-12-27
S00982,HCP,France,Endocrinology,Medium,2022-01-11
S00983,HCP,Canada,Dermatology,Low,2022-07-25
S00984,HCP,Brazil,Psychiatry,Medium,2022-07-30
S00985,HCO,India,Organization,High,2022-06-29
S00986,HCP,Japan,Infectious Disease,Low,2023-05-10
S00987,HCP,United Kingdom,Rheumatology,Medium,2022-08-26
S00988,HCP,United States,Pediatrics,,2023-12-29
S00989,HCP,Mexico,Primary Care,Medium,2022-03-07
S00990,HCP,Brazil,Infectious Disease,Low,2022-10-17
